Posted_Date,Transaction_Date,Action,Ticker,Expiry,Strike,Option_Type,Type,Quantity,Price,Fees & Com,Amount,Status
03/14/2025,03/14/2025,Buy to Open,EXPE,03/28/2025,150.0,Put,Put Buy,2.0,1.65,0.52,-330.52,Close
03/14/2025,03/14/2025,Buy to Close,MCD,03/28/2025,270.0,Put,Put Buy,2.0,0.3,0.52,-60.52,Close
03/14/2025,03/14/2025,Buy to Close,IBIT,03/14/2025,56.0,Call,Call Buy,3.0,0.01,0.03,-3.03,Close
03/14/2025,03/14/2025,Buy to Close,CAT,03/14/2025,335.0,Put,Put Buy,2.0,0.15,0.52,-30.52,Close
03/14/2025,03/14/2025,Buy to Close,CVX,03/14/2025,143.0,Put,Put Buy,1.0,0.01,0.01,-1.01,Close
03/14/2025,03/14/2025,Buy to Close,CVX,03/14/2025,165.0,Call,Call Buy,9.0,0.01,0.1,-9.1,Close
03/14/2025,03/14/2025,Buy to Close,COST,03/14/2025,860.0,Put,Put Buy,1.0,0.02,0.01,-2.01,Close
03/14/2025,03/14/2025,Buy to Close,COST,03/14/2025,840.0,Put,Put Buy,1.0,0.02,0.01,-2.01,Close
03/14/2025,03/14/2025,Buy to Close,ORCL,03/14/2025,130.0,Put,Put Buy,2.0,0.01,0.02,-2.02,Close
03/14/2025,03/14/2025,Sell to Open,NVDA,03/21/2025,131.0,Call,Call Sell,5.0,0.89,1.32,443.68,Close
03/14/2025,03/14/2025,Buy to Close,NVDA,03/21/2025,130.0,Call,Call Buy,5.0,1.05,1.3,-526.3,Close
03/14/2025,03/14/2025,Buy to Close,IVV,03/14/2025,550.0,Put,Put Buy,1.0,0.1,0.26,-10.26,Close
03/14/2025,03/14/2025,Buy to Close,MSFT,03/14/2025,360.0,Put,Put Buy,1.0,0.01,0.01,-1.01,Close
03/14/2025,03/14/2025,Buy to Close,MSFT,03/14/2025,350.0,Put,Put Buy,2.0,0.01,0.02,-2.02,Close
03/14/2025,03/14/2025,Buy to Close,MCD,03/14/2025,290.0,Put,Put Buy,2.0,0.02,0.02,-4.02,Close
03/14/2025,03/14/2025,Buy to Close,IBIT,03/14/2025,48.0,Put,Put Buy,1.0,0.78,0.26,-78.26,Close
03/14/2025,03/14/2025,Buy to Close,DE,03/14/2025,460.0,Put,Put Buy,2.0,0.1,0.52,-20.52,Close
03/14/2025,03/14/2025,Sell to Open,BLK,03/28/2025,850.0,Put,Put Sell,1.0,4.15,0.27,414.73,Close
03/14/2025,03/14/2025,Sell to Open,AAPL,03/28/2025,227.5,Call,Call Sell,3.0,1.01,0.8,302.2,Close
03/14/2025,03/13/2025,Assigned,AAPL,03/14/2025,232.5,Put,Assigned,1.0,0.0,0.0,0.0,Close
03/14/2025,03/13/2025,Buy,AAPL,,0.0,,Stock Buy,100.0,232.5,0.0,-23250.0,Open
03/13/2025,03/13/2025,Sell to Open,WDAY,03/28/2025,260.0,Call,Call Sell,2.0,1.07,0.54,213.46,Close
03/12/2025,03/12/2025,Sell to Open,ORCL,03/28/2025,165.0,Call,Call Sell,3.0,1.14,0.8,341.2,Close
03/12/2025,03/12/2025,Sell to Open,XOM,03/21/2025,115.0,Call,Call Sell,3.0,0.42,0.79,125.21,Close
03/12/2025,03/12/2025,Sell to Open,DE,03/28/2025,405.0,Put,Put Sell,1.0,1.23,0.26,122.74,Close
03/12/2025,03/12/2025,Sell to Open,CVX,03/28/2025,165.0,Call,Call Sell,5.0,0.33,1.31,163.69,Close
03/12/2025,03/12/2025,Sell to Open,COST,03/28/2025,800.0,Put,Put Sell,1.0,1.05,0.26,104.74,Close
03/12/2025,03/12/2025,Sell to Open,AVGO,03/14/2025,185.0,Put,Put Sell,2.0,1.05,0.54,209.46,Close
03/12/2025,03/12/2025,Sell to Open,ORCL,03/28/2025,165.0,Call,Call Sell,3.0,0.6,0.8,179.2,Close
03/12/2025,03/12/2025,Sell to Open,INTC,03/28/2025,24.0,Call,Call Sell,25.0,0.27,6.61,668.39,Close
03/12/2025,03/12/2025,Sell to Open,HD,03/28/2025,395.0,Call,Call Sell,3.0,0.92,0.8,275.2,Close
03/12/2025,03/12/2025,Sell to Open,AVGO,03/28/2025,225.0,Call,Call Sell,5.0,1.36,1.33,678.67,Close
03/12/2025,03/12/2025,Sell to Open,NVDA,03/21/2025,130.0,Call,Call Sell,5.0,1.1,1.33,548.67,Close
03/11/2025,03/11/2025,Sell to Open,AAPL,03/14/2025,210.0,Put,Put Sell,1.0,1.1,0.26,109.74,Close
03/11/2025,03/11/2025,Sell to Open,MCD,03/28/2025,270.0,Put,Put Sell,2.0,0.4,0.53,79.47,Close
03/10/2025,03/10/2025,Buy to Open,NVDA,01/16/2026,107.0,Put,Put Buy,2.0,17.9,0.52,-3580.52,Open
03/10/2025,03/10/2025,Buy,NVDA,,0.0,,Stock Buy,200.0,107.0,0.0,-21400.0,Open
03/10/2025,03/10/2025,Sell to Open,AAPL,03/14/2025,235.0,Call,Call Sell,3.0,1.15,0.8,344.2,Close
03/10/2025,03/10/2025,Sell to Open,COST,03/14/2025,840.0,Put,Put Sell,1.0,0.61,0.26,60.74,Close
03/10/2025,03/10/2025,Buy to Open,AAPL,06/18/2026,225.0,Put,Put Buy,3.0,23.3,0.78,-6990.78,Open
03/10/2025,03/10/2025,Buy,AAPL,,0.0,,Stock Buy,300.0,225.0,0.0,-67500.0,Open
03/10/2025,03/10/2025,Sell to Open,WDAY,03/14/2025,227.5,Put,Put Sell,2.0,0.62,0.53,123.47,Close
03/10/2025,03/10/2025,Sell to Open,CVX,03/14/2025,165.0,Call,Call Sell,9.0,0.21,2.39,186.61,Close
03/10/2025,03/10/2025,Sell to Open,MSFT,03/14/2025,350.0,Put,Put Sell,2.0,0.52,0.53,103.47,Close
03/10/2025,03/10/2025,Sell to Open,RF,03/21/2025,21.0,Put,Put Sell,3.0,0.3,0.79,89.21,Close
03/10/2025,03/10/2025,Buy to Open,ORCL,06/20/2025,150.0,Put,Put Buy,3.0,15.5,0.78,-4650.78,Open
03/10/2025,03/10/2025,Sell to Open,SPY,03/14/2025,535.0,Put,Put Sell,3.0,0.68,0.8,203.2,Close
03/10/2025,03/10/2025,Sell to Open,DE,03/14/2025,460.0,Put,Put Sell,2.0,0.7,0.53,139.47,Close
03/10/2025,03/10/2025,Sell to Close,HD,03/21/2025,360.0,Put,Put Sell,3.0,2.88,0.81,863.19,Close
03/10/2025,03/10/2025,Buy to Open,HD,06/18/2026,380.0,Put,Put Buy,3.0,39.45,0.78,-11835.78,Open
03/10/2025,03/10/2025,Sell to Open,CAT,03/14/2025,335.0,Put,Put Sell,2.0,1.3,0.54,259.46,Close
03/10/2025,03/10/2025,Sell to Open,AVGO,03/14/2025,165.0,Put,Put Sell,2.0,0.68,0.53,135.47,Close
03/10/2025,03/10/2025,Buy to Open,AMD,06/18/2026,130.0,Put,Put Buy,15.0,36.93,3.91,-55398.91,Open
03/10/2025,03/10/2025,Sell to Close,AMD,03/21/2025,115.0,Put,Put Sell,15.0,14.73,4.56,22090.44,Close
03/10/2025,03/10/2025,Qualified Dividend,CVX,,0.0,,Dividend,0.0,0.0,0.0,1539.0,Close
03/10/2025,03/10/2025,Qualified Dividend,XOM,,0.0,,Dividend,0.0,0.0,0.0,297.0,Close
03/10/2025,03/07/2025,Buy,INTC,,0.0,,Stock Buy,4500.0,23.5,0.0,-105750.0,Open
03/10/2025,03/07/2025,Buy,HD,,0.0,,Stock Buy,100.0,380.0,0.0,-38000.0,Open
03/10/2025,03/07/2025,Buy,ORCL,,0.0,,Stock Buy,300.0,160.0,0.0,-48000.0,Open
03/10/2025,03/07/2025,Buy,NVDA,,0.0,,Stock Buy,100.0,115.0,0.0,-11500.0,Open
03/10/2025,03/07/2025,Buy,NVDA,,0.0,,Stock Buy,100.0,116.0,0.0,-11600.0,Open
03/10/2025,03/07/2025,Buy,NVDA,,0.0,,Stock Buy,100.0,118.0,0.0,-11800.0,Open
03/10/2025,03/07/2025,Expired,WDAY,03/07/2025,247.5,Put,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,AAPL,03/07/2025,252.5,Call,Expired,10.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,MSFT,03/07/2025,360.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,AVGO,03/07/2025,160.0,Put,Expired,3.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,XOM,03/07/2025,107.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,MSFT,03/07/2025,410.0,Call,Expired,-2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,MSFT,03/07/2025,415.0,Call,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,MSFT,03/07/2025,375.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,MCD,03/07/2025,295.0,Put,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,HD,03/07/2025,405.0,Call,Expired,2.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Expired,CAT,03/07/2025,330.0,Put,Expired,1.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Assigned,INTC,03/07/2025,23.5,Put,Assigned,45.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Assigned,HD,03/07/2025,380.0,Put,Assigned,1.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Assigned,ORCL,03/07/2025,160.0,Put,Assigned,3.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Assigned,NVDA,03/07/2025,115.0,Put,Assigned,1.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Assigned,NVDA,03/07/2025,116.0,Put,Assigned,1.0,0.0,0.0,0.0,Close
03/10/2025,03/07/2025,Assigned,NVDA,03/07/2025,118.0,Put,Assigned,1.0,0.0,0.0,0.0,Close
03/07/2025,03/07/2025,Buy to Close,AAPL,03/07/2025,237.5,Put,Put Buy,1.0,0.04,0.01,-4.01,Close
03/07/2025,03/07/2025,Sell to Open,AAPL,03/14/2025,232.5,Put,Put Sell,1.0,1.79,0.26,178.74,Close
03/07/2025,03/07/2025,Sell to Open,MSFT,03/14/2025,360.0,Put,Put Sell,1.0,0.52,0.26,51.74,Close
03/07/2025,03/07/2025,Buy to Close,WDAY,03/07/2025,272.5,Call,Call Buy,2.0,0.1,0.52,-20.52,Close
03/07/2025,03/07/2025,Sell to Open,COST,03/14/2025,860.0,Put,Put Sell,1.0,0.5,0.26,49.74,Close
03/06/2025,03/06/2025,Sell to Open,COST,03/14/2025,900.0,Put,Put Sell,2.0,1.07,0.54,213.46,Close
03/06/2025,03/06/2025,Sell to Open,MSFT,03/14/2025,375.0,Put,Put Sell,2.0,0.93,0.54,185.46,Close
03/06/2025,03/06/2025,Sell to Open,IVV,03/14/2025,550.0,Put,Put Sell,1.0,1.25,0.26,124.74,Close
03/06/2025,03/06/2025,Sell to Open,HD,03/14/2025,350.0,Put,Put Sell,3.0,0.49,0.79,146.21,Close
03/06/2025,03/06/2025,Sell to Open,EXPE,03/14/2025,170.0,Put,Put Sell,2.0,0.41,0.53,81.47,Close
03/06/2025,03/06/2025,Buy to Open,CVX,01/16/2026,150.0,Put,Put Buy,9.0,12.65,2.35,-11387.35,Open
03/06/2025,03/06/2025,Sell to Close,CVX,03/21/2025,150.0,Put,Put Sell,9.0,2.95,2.45,2652.55,Close
03/06/2025,03/06/2025,Sell to Open,ORCL,03/14/2025,130.0,Put,Put Sell,2.0,0.83,0.53,165.47,Close
03/06/2025,03/06/2025,Cash Dividend,AGG,,0.0,,Dividend,0.0,0.0,0.0,60.84,Close
03/06/2025,03/05/2025,Buy to Close,SPXW,03/05/2025,5840.0,Call,Call Buy,1.0,2.63,0.0,-263.0,Close
03/06/2025,03/05/2025,Expired,SPXW,03/05/2025,5705.0,Put,Expired,1.0,0.0,0.0,0.0,Close
03/06/2025,03/05/2025,Expired,SPXW,03/05/2025,5845.0,Call,Expired,-1.0,0.0,0.0,0.0,Close
03/06/2025,03/05/2025,Expired,SPXW,03/05/2025,5700.0,Put,Expired,-1.0,0.0,0.0,0.0,Close
03/05/2025,03/05/2025,Sell to Open,IBIT,03/14/2025,56.0,Call,Call Sell,3.0,0.56,0.79,167.21,Close
03/05/2025,03/05/2025,Sell to Open,IBIT,03/14/2025,48.0,Put,Put Sell,1.0,0.79,0.26,78.74,Close
03/05/2025,03/05/2025,Sell to Open,CVX,03/14/2025,143.0,Put,Put Sell,1.0,0.53,0.26,52.74,Close
03/04/2025,03/04/2025,Buy to Open,SPXW,03/05/2025,5700.0,Put,Put Buy,1.0,8.96,0.82,-896.82,Close
03/04/2025,03/04/2025,Sell to Open,SPXW,03/05/2025,5705.0,Put,Put Sell,1.0,9.84,0.82,983.18,Close
03/04/2025,03/04/2025,Buy to Open,SPXW,03/05/2025,5845.0,Call,Call Buy,1.0,11.11,0.82,-1111.82,Close
03/04/2025,03/04/2025,Sell to Open,SPXW,03/05/2025,5840.0,Call,Call Sell,1.0,12.43,0.82,1242.18,Close
03/04/2025,03/04/2025,Sell,COST,,0.0,,Stock Sell,300.0,1041.41,8.74,312412.91,Open
03/04/2025,03/04/2025,Buy to Close,COST,03/07/2025,1050.0,Call,Call Buy,3.0,19.56,0.78,-5868.78,Close
03/04/2025,03/04/2025,Sell to Close,COST,03/07/2025,1045.0,Put,Put Sell,3.0,24.78,1.0,7433.0,Close
03/03/2025,03/03/2025,Sell to Open,AAPL,03/07/2025,252.5,Call,Call Sell,10.0,0.23,2.65,227.35,Close
03/03/2025,03/03/2025,Sell to Open,MCD,03/14/2025,290.0,Put,Put Sell,2.0,0.52,0.53,103.47,Close
03/03/2025,03/03/2025,Buy to Close,INTC,03/07/2025,22.0,Put,Put Buy,45.0,0.13,11.74,-596.74,Close
03/03/2025,03/03/2025,Sell to Open,INTC,03/07/2025,23.5,Put,Put Sell,45.0,0.51,11.93,2283.07,Close
03/03/2025,03/03/2025,Sell to Close,INTC,03/21/2025,20.0,Put,Put Sell,45.0,0.14,11.89,618.11,Close
03/03/2025,03/03/2025,Buy to Open,INTC,06/18/2026,23.0,Put,Put Buy,45.0,4.55,11.74,-20486.74,Open
03/03/2025,03/03/2025,Sell to Open,AVGO,03/07/2025,160.0,Put,Put Sell,3.0,0.82,0.8,245.2,Close
03/03/2025,03/03/2025,Sell to Open,CAT,03/07/2025,330.0,Put,Put Sell,1.0,1.01,0.26,100.74,Close
03/03/2025,03/03/2025,Sell to Open,AAPL,03/07/2025,237.5,Put,Put Sell,1.0,1.08,0.26,107.74,Close
03/03/2025,02/28/2025,Expired,WDAY,02/28/2025,270.0,Call,Expired,1.0,0.0,0.0,0.0,Close
03/03/2025,02/28/2025,Expired,ORCL,02/28/2025,160.0,Put,Expired,3.0,0.0,0.0,0.0,Close
