Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
04/14/2025 as of 04/11/2025,Assigned,DE 04/11/2025 445.00 C,CALL DEERE & CO $445 EXP 04/11/25,1,,,
04/14/2025 as of 04/11/2025,Assigned,AVGO 04/11/2025 172.50 C,CALL BROADCOM INC $172.5 EXP 04/11/25,2,,,
04/14/2025 as of 04/11/2025,Assigned,CAT 04/11/2025 300.00 P,PUT CATERPILLAR INC $300 EXP 04/11/25,2,,,
04/14/2025 as of 04/11/2025,Assigned,XOM 04/11/2025 115.00 P,PUT EXXON MOBIL CORP $115 EXP 04/11/25,3,,,
04/14/2025 as of 04/11/2025,Assigned,ORCL 04/11/2025 135.00 P,PUT ORACLE CORP $135 EXP 04/11/25,2,,,
4/11/25,Buy to Open,NVDA 09/18/2026 110.00 P,PUT NVIDIA CORP $110 EXP 09/18/26,4,$22.50 ,$1.04 ,"($9,001.04)"
4/11/25,Sell to Open,NVDA 04/17/2025 95.00 P,PUT NVIDIA CORP $95 EXP 04/17/25,5,$0.66 ,$1.32 ,$328.68 
4/11/25,Sell to Open,TOL 04/17/2025 86.00 P,PUT TOLL BROS INC $86 EXP 04/17/25,3,$0.95 ,$0.80 ,$284.20 
4/11/25,Sell to Open,ORCL 04/17/2025 115.00 P,PUT ORACLE CORP $115 EXP 04/17/25,2,$0.66 ,$0.53 ,$131.47 
4/11/25,Sell to Open,AAPL 04/17/2025 212.50 C,CALL APPLE INC $212.5 EXP 04/17/25,2,$1.42 ,$0.54 ,$283.46 
4/11/25,Sell to Open,DE 04/17/2025 372.50 P,PUT DEERE & CO $372.5 EXP 04/17/25,1,$1.20 ,$0.26 ,$119.74 
4/11/25,Buy to Open,CMCSA 06/18/2026 32.50 P,PUT COMCAST CORP NEW $32.5 EXP 06/18/26,12,$3.75 ,$3.13 ,"($4,503.13)"
4/11/25,Sell to Close,CMCSA 04/17/2025 35.00 P,PUT COMCAST CORP NEW $35 EXP 04/17/25,12,$1.81 ,$3.22 ,"$2,168.78 "
4/11/25,Sell to Open,AVGO 04/17/2025 130.00 P,PUT BROADCOM INC $130 EXP 04/17/25,2,$0.47 ,$0.53 ,$93.47 
4/11/25,Sell to Open,AMD 04/17/2025 75.00 P,PUT ADVANCED MICRO DEVIC$75 EXP 04/17/25,2,$0.70 ,$0.53 ,$139.47 
4/11/25,Buy to Close,AAPL 04/11/2025 160.00 P,PUT APPLE INC $160 EXP 04/11/25,2,$0.01 ,$0.02 ,($2.02)
4/11/25,Buy to Close,AAPL 04/11/2025 155.00 P,PUT APPLE INC $155 EXP 04/11/25,5,$0.01 ,$0.05 ,($5.05)
4/11/25,Buy to Close,AAPL 04/11/2025 235.00 C,CALL APPLE INC $235 EXP 04/11/25,2,$0.01 ,$0.02 ,($2.02)
4/10/25,Sell to Open,NVDA 04/17/2025 84.00 P,PUT NVIDIA CORP $84 EXP 04/17/25,2,$0.40 ,$0.53 ,$79.47 
4/10/25,Sell to Open,AVGO 04/17/2025 139.00 P,PUT BROADCOM INC $139 EXP 04/17/25,2,$0.59 ,$0.53 ,$117.47 
4/10/25,Sell to Open,AAPL 04/11/2025 155.00 P,PUT APPLE INC $155 EXP 04/11/25,5,$0.09 ,$1.31 ,$43.69 
4/9/25,Sell to Open,HD 04/17/2025 315.00 P,PUT HOME DEPOT INC $315 EXP 04/17/25,2,$1.46 ,$0.54 ,$291.46 
4/7/25,Buy to Close,AVGO 04/11/2025 172.50 C,CALL BROADCOM INC $172.5 EXP 04/11/25,1,$1.10 ,$0.26 ,($110.26)
4/7/25,Sell to Open,AVGO 04/11/2025 172.50 C,CALL BROADCOM INC $172.5 EXP 04/11/25,3,$1.15 ,$0.80 ,$344.20 
4/7/25,Sell to Open,XOM 04/17/2025 116.00 C,CALL EXXON MOBIL CORP $116 EXP 04/17/25,3,$0.29 ,$0.79 ,$86.21 
4/7/25,Sell to Open,EXPE 04/17/2025 170.00 C,CALL EXPEDIA GROUP INC $170 EXP 04/17/25,2,$0.40 ,$0.53 ,$79.47 
4/7/25,Sell to Open,CVX 04/11/2025 120.00 P,PUT CHEVRON CORP NEW $120 EXP 04/11/25,1,$0.68 ,$0.26 ,$67.74 
4/7/25,Sell to Open,ORCL 04/11/2025 100.00 P,PUT ORACLE CORP $100 EXP 04/11/25,2,$0.72 ,$0.53 ,$143.47 
4/7/25,Sell to Open,HD 04/17/2025 265.00 P,PUT HOME DEPOT INC $265 EXP 04/17/25,1,$0.98 ,$0.26 ,$97.74 
4/7/25,Sell to Open,DE 04/11/2025 445.00 C,CALL DEERE & CO $445 EXP 04/11/25,1,$5.65 ,$0.28 ,$564.72 
4/7/25,Sell to Open,AAPL 04/11/2025 210.00 C,CALL APPLE INC $210 EXP 04/11/25,2,$0.39 ,$0.53 ,$77.47 
4/7/25,Sell to Open,INTC 04/17/2025 23.50 C,CALL INTEL CORP $23.5 EXP 04/17/25,10,$0.23 ,$2.65 ,$227.35 
4/7/25,Sell to Open,HD 04/11/2025 290.00 P,PUT HOME DEPOT INC $290 EXP 04/11/25,1,$1.53 ,$0.26 ,$152.74 
04/07/2025 as of 04/04/2025,Expired,ORCL 04/04/2025 128.00 P,PUT ORACLE CORP $128 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Expired,EXPE 04/04/2025 172.50 C,CALL EXPEDIA GROUP INC $172.5 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Expired,AVGO 04/04/2025 182.50 C,CALL BROADCOM INC $182.5 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Expired,INTC 04/04/2025 23.50 C,CALL INTEL CORP $23.5 EXP 04/04/25,10,,,
04/07/2025 as of 04/04/2025,Expired,HD 04/04/2025 340.00 P,PUT HOME DEPOT INC $340 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Expired,HD 04/04/2025 350.00 P,PUT HOME DEPOT INC $350 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Expired,AAPL 04/04/2025 230.00 C,CALL APPLE INC $230 EXP 04/04/25,1,,,
04/07/2025 as of 04/04/2025,Assigned,AAPL 04/04/2025 210.00 P,PUT APPLE INC $210 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Assigned,DE 04/04/2025 440.00 P,PUT DEERE & CO $440 EXP 04/04/25,1,,,
04/07/2025 as of 04/04/2025,Assigned,CAT 04/04/2025 310.00 P,PUT CATERPILLAR INC $310 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Assigned,CAT 04/04/2025 320.00 P,PUT CATERPILLAR INC $320 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Assigned,XOM 04/04/2025 115.00 P,PUT EXXON MOBIL CORP $115 EXP 04/04/25,3,,,
04/07/2025 as of 04/04/2025,Assigned,ORCL 04/04/2025 135.00 P,PUT ORACLE CORP $135 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Assigned,NVDA 04/04/2025 108.00 P,PUT NVIDIA CORP $108 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Assigned,NVDA 04/04/2025 98.00 P,PUT NVIDIA CORP $98 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Assigned,WDAY 04/04/2025 237.50 P,PUT WORKDAY INC $237.5 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Assigned,WDAY 04/04/2025 220.00 P,PUT WORKDAY INC $220 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Assigned,AVGO 04/04/2025 160.00 P,PUT BROADCOM INC $160 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Assigned,AVGO 04/04/2025 175.00 P,PUT BROADCOM INC $175 EXP 04/04/25,2,,,
04/07/2025 as of 04/04/2025,Buy,AAPL,APPLE INC,200,$210.00 ,,"($42,000.00)"
04/07/2025 as of 04/04/2025,Buy,DE,DEERE & CO,100,$440.00 ,,"($44,000.00)"
04/07/2025 as of 04/04/2025,Buy,CAT,CATERPILLAR INC,200,$310.00 ,,"($62,000.00)"
04/07/2025 as of 04/04/2025,Buy,CAT,CATERPILLAR INC,200,$320.00 ,,"($64,000.00)"
04/07/2025 as of 04/04/2025,Buy,XOM,EXXON MOBIL CORP,300,$115.00 ,,"($34,500.00)"
04/07/2025 as of 04/04/2025,Buy,ORCL,ORACLE CORP,200,$135.00 ,,"($27,000.00)"
04/07/2025 as of 04/04/2025,Buy,NVDA,NVIDIA CORP,200,$108.00 ,,"($21,600.00)"
04/07/2025 as of 04/04/2025,Buy,NVDA,NVIDIA CORP,200,$98.00 ,,"($19,600.00)"
04/07/2025 as of 04/04/2025,Buy,WDAY,WORKDAY INC CLASS A,200,$237.50 ,,"($47,500.00)"
04/07/2025 as of 04/04/2025,Buy,WDAY,WORKDAY INC CLASS A,200,$220.00 ,,"($44,000.00)"
04/07/2025 as of 04/04/2025,Buy,AVGO,BROADCOM INC,200,$160.00 ,,"($32,000.00)"
04/07/2025 as of 04/04/2025,Buy,AVGO,BROADCOM INC,200,$175.00 ,,"($35,000.00)"
4/4/25,Sell to Open,MCD 04/11/2025 280.00 P,PUT MCDONALDS CORP $280 EXP 04/11/25,2,$1.09 ,$0.54 ,$217.46 
4/4/25,Sell to Open,NVDA 04/11/2025 80.00 P,PUT NVIDIA CORP $80 EXP 04/11/25,2,$0.78 ,$0.53 ,$155.47 
4/4/25,Sell to Open,DE 04/11/2025 360.00 P,PUT DEERE & CO $360 EXP 04/11/25,1,$0.95 ,$0.26 ,$94.74 
4/4/25,Sell to Open,CAT 04/11/2025 250.00 P,PUT CATERPILLAR INC $250 EXP 04/11/25,2,$1.40 ,$0.54 ,$279.46 
4/4/25,Sell to Open,AVGO 04/11/2025 115.00 P,PUT BROADCOM INC $115 EXP 04/11/25,2,$0.86 ,$0.53 ,$171.47 
4/4/25,Sell to Open,AAPL 04/11/2025 160.00 P,PUT APPLE INC $160 EXP 04/11/25,2,$0.66 ,$0.53 ,$131.47 
4/4/25,Sell to Open,CVX 04/11/2025 135.00 P,PUT CHEVRON CORP NEW $135 EXP 04/11/25,1,$1.42 ,$0.26 ,$141.74 
4/4/25,Cash Dividend,AGG,ISHARES CORE US AGGREGATE BOND ETF,,,,$65.04 
4/3/25,Buy to Close,TSLA 04/04/2025 250.00 P,PUT TESLA INC $250 EXP 04/04/25,1,$0.95 ,$0.26 ,($95.26)
4/3/25,Sell to Open,TSLA 04/04/2025 250.00 P,PUT TESLA INC $250 EXP 04/04/25,1,$1.43 ,$0.26 ,$142.74 
4/3/25,Sell to Open,TOL 04/11/2025 90.00 P,PUT TOLL BROS INC $90 EXP 04/11/25,3,$0.53 ,$0.79 ,$159.21 
4/2/25,Sell to Open,DE 04/11/2025 415.00 P,PUT DEERE & CO $415 EXP 04/11/25,1,$0.51 ,$0.26 ,$50.74 
4/2/25,Sell to Open,XOM 04/11/2025 115.00 P,PUT EXXON MOBIL CORP $115 EXP 04/11/25,3,$0.51 ,$0.79 ,$152.21 
4/2/25,Sell to Open,XLF 04/17/2025 52.50 C,CALL SPDR FINANCIAL $52.5 EXP 04/17/25,4,$0.11 ,$1.05 ,$42.95 
4/2/25,Sell to Open,MCD 04/17/2025 290.00 P,PUT MCDONALDS CORP $290 EXP 04/17/25,2,$0.40 ,$0.53 ,$79.47 
4/2/25,Sell to Open,ORCL 04/11/2025 135.00 P,PUT ORACLE CORP $135 EXP 04/11/25,2,$0.84 ,$0.53 ,$167.47 
4/2/25,Sell to Open,ORCL 04/11/2025 162.50 C,CALL ORACLE CORP $162.5 EXP 04/11/25,3,$0.40 ,$0.79 ,$119.21 
4/2/25,Sell to Open,NVDA 04/11/2025 102.00 P,PUT NVIDIA CORP $102 EXP 04/11/25,2,$0.77 ,$0.53 ,$153.47 
4/2/25,Sell to Open,AVGO 04/04/2025 182.50 C,CALL BROADCOM INC $182.5 EXP 04/04/25,2,$0.41 ,$0.53 ,$81.47 
4/2/25,Sell to Open,AAPL 04/11/2025 235.00 C,CALL APPLE INC $235 EXP 04/11/25,2,$0.57 ,$0.53 ,$113.47 
4/2/25,Sell to Open,AMD 04/11/2025 92.00 P,PUT ADVANCED MICRO DEVIC$92 EXP 04/11/25,2,$0.43 ,$0.53 ,$85.47 
4/2/25,Qualified Dividend,NVDA,NVIDIA CORP,,,,$27.00 
4/1/25,Sell to Open,DE 04/11/2025 430.00 P,PUT DEERE & CO $430 EXP 04/11/25,1,$0.88 ,$0.26 ,$87.74 
4/1/25,Sell to Open,GBTC 04/17/2025 72.00 C,CALL GRYSCL BITCOIN TRST$72 EXP 04/17/25,4,$0.97 ,$1.06 ,$384.94 
3/31/25,Sell to Open,AAPL 04/04/2025 230.00 C,CALL APPLE INC $230 EXP 04/04/25,1,$0.62 ,$0.26 ,$61.74 
3/31/25,Sell to Open,EXPE 04/04/2025 172.50 C,CALL EXPEDIA GROUP INC $172.5 EXP 04/04/25,2,$1.33 ,$0.54 ,$265.46 
3/31/25,Sell to Open,HD 04/04/2025 350.00 P,PUT HOME DEPOT INC $350 EXP 04/04/25,2,$0.96 ,$0.54 ,$191.46 
3/31/25,Sell to Open,ORCL 04/04/2025 128.00 P,PUT ORACLE CORP $128 EXP 04/04/25,2,$0.60 ,$0.53 ,$119.47 
3/31/25,Sell to Open,NVDA 04/04/2025 98.00 P,PUT NVIDIA CORP $98 EXP 04/04/25,2,$0.54 ,$0.53 ,$107.47 
3/31/25,Sell to Open,INTC 04/04/2025 23.50 C,CALL INTEL CORP $23.5 EXP 04/04/25,10,$0.32 ,$2.65 ,$317.35 
3/31/25,Sell to Open,CAT 04/11/2025 300.00 P,PUT CATERPILLAR INC $300 EXP 04/11/25,2,$0.88 ,$0.53 ,$175.47 
3/31/25,Qualified Dividend,AVGO,BROADCOM INC,,,,$295.00 
03/31/2025 as of 03/28/2025,Expired,MCD 03/28/2025 287.50 P,PUT MCDONALDS CORP $287.5 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,EXPE 03/28/2025 172.50 C,CALL EXPEDIA GROUP INC $172.5 EXP 03/28/25,2,,,
03/31/2025 as of 03/28/2025,Expired,AAPL 03/28/2025 227.50 C,CALL APPLE INC $227.5 EXP 03/28/25,3,,,
03/31/2025 as of 03/28/2025,Buy,INTC,INTEL CORP,"1,000",$23.50 ,,"($23,500.00)"
03/31/2025 as of 03/28/2025,Buy,AVGO,BROADCOM INC,200,$170.00 ,,"($34,000.00)"
03/31/2025 as of 03/28/2025,Expired,NVDA 03/28/2025 105.00 P,PUT NVIDIA CORP $105 EXP 03/28/25,2,,,
03/31/2025 as of 03/28/2025,Expired,HD 03/28/2025 335.00 P,PUT HOME DEPOT INC $335 EXP 03/28/25,2,,,
03/31/2025 as of 03/28/2025,Expired,COST 03/28/2025 860.00 P,PUT COSTCO WHSL CORP NEW$860 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,COST 03/28/2025 840.00 P,PUT COSTCO WHSL CORP NEW$840 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,COST 03/28/2025 800.00 P,PUT COSTCO WHSL CORP NEW$800 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,WDAY 03/28/2025 260.00 C,CALL WORKDAY INC $260 EXP 03/28/25,2,,,
03/31/2025 as of 03/28/2025,Expired,ORCL 03/28/2025 165.00 C,CALL ORACLE CORP $165 EXP 03/28/25,6,,,
03/31/2025 as of 03/28/2025,Expired,ORCL 03/28/2025 140.00 P,PUT ORACLE CORP $140 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,INTC 03/28/2025 24.00 C,CALL INTEL CORP $24 EXP 03/28/25,25,,,
03/31/2025 as of 03/28/2025,Expired,HD 03/28/2025 395.00 C,CALL HOME DEPOT INC $395 EXP 03/28/25,3,,,
03/31/2025 as of 03/28/2025,Expired,EXPE 03/28/2025 150.00 P,PUT EXPEDIA GROUP INC $150 EXP 03/28/25,-2,,,
03/31/2025 as of 03/28/2025,Expired,DE 03/28/2025 405.00 P,PUT DEERE & CO $405 EXP 03/28/25,1,,,
03/31/2025 as of 03/28/2025,Expired,CAT 03/28/2025 320.00 P,PUT CATERPILLAR INC $320 EXP 03/28/25,2,,,
03/31/2025 as of 03/28/2025,Assigned,INTC 03/28/2025 23.50 P,PUT INTEL CORP $23.5 EXP 03/28/25,10,,,
03/31/2025 as of 03/28/2025,Assigned,AVGO 03/28/2025 170.00 P,PUT BROADCOM INC $170 EXP 03/28/25,2,,,
3/28/25,Credit Interest,,SCHWAB1 INT 02/27-03/27,,,,$11.33 
3/28/25,Margin Interest,,INTEREST 02/27THRU 03/27,,,,($233.95)
3/28/25,Sell to Open,WDAY 04/04/2025 220.00 P,PUT WORKDAY INC $220 EXP 04/04/25,2,$0.60 ,$0.53 ,$119.47 
3/28/25,Buy to Close,WDAY 03/28/2025 237.50 P,PUT WORKDAY INC $237.5 EXP 03/28/25,2,$1.35 ,$0.52 ,($270.52)
3/28/25,Sell to Open,MCD 04/11/2025 295.00 P,PUT MCDONALDS CORP $295 EXP 04/11/25,2,$0.95 ,$0.54 ,$189.46 
3/28/25,Sell to Open,CAT 04/04/2025 310.00 P,PUT CATERPILLAR INC $310 EXP 04/04/25,2,$0.98 ,$0.54 ,$195.46 
3/27/25,Qualified Dividend,HD,HOME DEPOT INC,,,,$690.00 
3/27/25,Cash Dividend,VFMO,VANGUARD US MOMENTUM FACTOR ETF,,,,$31.18 
3/27/25,Cash Dividend,VDE,VANGUARD ENERGY ETF,,,,$189.74 
3/26/25,Buy to Close,AVGO 03/28/2025 225.00 C,CALL BROADCOM INC $225 EXP 03/28/25,5,$0.01 ,$0.05 ,($5.05)
3/26/25,Sell to Open,AAPL 04/04/2025 210.00 P,PUT APPLE INC $210 EXP 04/04/25,2,$0.91 ,$0.54 ,$181.46 
3/26/25,Sell to Open,CAT 04/04/2025 320.00 P,PUT CATERPILLAR INC $320 EXP 04/04/25,2,$1.04 ,$0.54 ,$207.46 
3/26/25,Sell to Open,AVGO 04/04/2025 160.00 P,PUT BROADCOM INC $160 EXP 04/04/25,2,$0.83 ,$0.53 ,$165.47 
3/26/25,Sell to Open,ORCL 04/04/2025 135.00 P,PUT ORACLE CORP $135 EXP 04/04/25,2,$0.64 ,$0.53 ,$127.47 
3/26/25,Sell to Open,WDAY 04/04/2025 237.50 P,PUT WORKDAY INC $237.5 EXP 04/04/25,2,$1.05 ,$0.54 ,$209.46 
3/26/25,Sell to Open,NVDA 04/04/2025 108.00 P,PUT NVIDIA CORP $108 EXP 04/04/25,2,$0.91 ,$0.54 ,$181.46 
3/26/25,Sell to Open,HD 04/04/2025 340.00 P,PUT HOME DEPOT INC $340 EXP 04/04/25,2,$0.60 ,$0.53 ,$119.47 
3/26/25,Cash Dividend,XLF,SELECT STR FINANCIAL SELECT SPDR ETF,,,,$73.30 
3/25/25,Sell to Open,AVGO 04/04/2025 175.00 P,PUT BROADCOM INC $175 EXP 04/04/25,2,$1.19 ,$0.54 ,$237.46 
3/25/25,Buy to Close,AAPL 03/28/2025 230.00 C,CALL APPLE INC $230 EXP 03/28/25,1,$0.23 ,$0.26 ,($23.26)
3/25/25,Sell to Open,XOM 04/04/2025 115.00 P,PUT EXXON MOBIL CORP $115 EXP 04/04/25,3,$0.91 ,$0.80 ,$272.20 
03/24/2025 as of 03/21/2025,Expired,NVDA 03/21/2025 131.00 C,CALL NVIDIA CORP $131 EXP 03/21/25,5,,,
03/24/2025 as of 03/21/2025,Expired,RF 03/21/2025 21.00 P,PUT REGIONS FINL CORP NE$21 EXP 03/21/25,3,,,
03/24/2025 as of 03/21/2025,Expired,HD 03/21/2025 335.00 P,PUT HOME DEPOT INC $335 EXP 03/21/25,1,,,
03/24/2025 as of 03/21/2025,Expired,CMI 03/21/2025 320.00 P,PUT CUMMINS INC $320 EXP 03/21/25,2,,,
03/24/2025 as of 03/21/2025,Expired,MCD 03/21/2025 295.00 P,PUT MCDONALDS CORP $295 EXP 03/21/25,1,,,
03/24/2025 as of 03/21/2025,Expired,VGT 03/21/2025 550.00 P,PUT VNGRD INFO TECH $550 EXP 03/21/25,3,,,
03/24/2025 as of 03/21/2025,Expired,CAT 03/21/2025 320.00 P,PUT CATERPILLAR INC $320 EXP 03/21/25,2,,,
03/24/2025 as of 03/21/2025,Exchange or Exercise,TOL 03/21/2025 135.00 P,PUT TOLL BROS INC $135 EXP 03/21/25,-3,,,
03/24/2025 as of 03/21/2025,Exchange or Exercise,TOL 03/21/2025 130.00 P,PUT TOLL BROS INC $130 EXP 03/21/25,-5,,,
03/24/2025 as of 03/21/2025,Exchange or Exercise,TOL 03/21/2025 120.00 P,PUT TOLL BROS INC $120 EXP 03/21/25,-1,,,
03/24/2025 as of 03/21/2025,Assigned,XOM 03/21/2025 115.00 C,CALL EXXON MOBIL CORP $115 EXP 03/21/25,3,,,
03/24/2025 as of 03/21/2025,Exchange or Exercise,NVDA 03/21/2025 140.00 P,PUT NVIDIA CORP $140 EXP 03/21/25,-40,,,
03/24/2025 as of 03/21/2025,Assigned,GBTC 03/21/2025 68.00 P,PUT GRYSCL BITCOIN TRST $68 EXP 03/21/25,2,,,
03/24/2025 as of 03/21/2025,Sell,TOL,TOLL BROS INC,300,$135.00 ,$1.18 ,"$40,498.82 "
03/24/2025 as of 03/21/2025,Sell,TOL,TOLL BROS INC,500,$130.00 ,$1.89 ,"$64,998.11 "
03/24/2025 as of 03/21/2025,Sell,TOL,TOLL BROS INC,100,$120.00 ,$0.35 ,"$11,999.65 "
03/24/2025 as of 03/21/2025,Sell,XOM,EXXON MOBIL CORP,300,$115.00 ,$1.01 ,"$34,498.99 "
03/24/2025 as of 03/21/2025,Sell,NVDA,NVIDIA CORP,"4,000",$140.00 ,$16.23 ,"$559,983.77 "
03/24/2025 as of 03/21/2025,Buy,GBTC,GRAYSCALE BITCOIN TRUST ETF,200,$68.00 ,,"($13,600.00)"
3/21/25,Cash Dividend,IYF,ISHARES US FINANCIALS ETF,,,,$37.05 
03/21/2025 as of 03/20/2025,Assigned,AAPL 04/17/2025 250.00 P,PUT APPLE INC $250 EXP 04/17/25,9,,,
03/21/2025 as of 03/20/2025,Buy,AAPL,APPLE INC,900,$250.00 ,,"($225,000.00)"
3/20/25,Sell to Open,HD 03/28/2025 335.00 P,PUT HOME DEPOT INC $335 EXP 03/28/25,2,$0.54 ,$0.53 ,$107.47 
3/20/25,Sell to Open,COST 03/28/2025 860.00 P,PUT COSTCO WHSL CORP NEW$860 EXP 03/28/25,1,$2.66 ,$0.27 ,$265.73 
3/20/25,Sell to Open,CAT 03/28/2025 320.00 P,PUT CATERPILLAR INC $320 EXP 03/28/25,2,$1.07 ,$0.54 ,$213.46 
3/20/25,Buy to Close,WDAY 03/28/2025 265.00 C,CALL WORKDAY INC $265 EXP 03/28/25,2,$0.53 ,$0.52 ,($106.52)
03/20/2025 as of 03/19/2025,Assigned,IYF 03/21/2025 116.00 P,PUT ISHR US FINANCIALS $116 EXP 03/21/25,1,,,
03/20/2025 as of 03/19/2025,Buy,IYF,ISHARES US FINANCIALS ETF,100,$116.00 ,,"($11,600.00)"
